 shoulder(N.m)    elbow(N.m)  
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
0          0
